n,threads,available_processors,time_s,workload_ops,speedup,efficiency,verified
200,1,56,0.007604,15960000,1.000000,1.000000,yes
200,2,56,0.003770,15960000,2.016976,1.008488,yes
200,4,56,0.001995,15960000,3.811529,0.952882,yes
200,8,56,0.001036,15960000,7.339768,0.917471,yes
400,1,56,0.085984,127840000,1.000000,1.000000,yes
400,2,56,0.043234,127840000,1.988805,0.994403,yes
400,4,56,0.021607,127840000,3.979451,0.994863,yes
400,8,56,0.011085,127840000,7.756788,0.969599,yes
800,1,56,0.814188,1023360000,1.000000,1.000000,yes
800,2,56,0.427753,1023360000,1.903407,0.951703,yes
800,4,56,0.368358,1023360000,2.210317,0.552579,yes
800,8,56,0.373513,1023360000,2.179812,0.272476,yes
1200,1,56,2.905375,3454560000,1.000000,1.000000,yes
1200,2,56,1.369779,3454560000,2.121054,1.060527,yes
1200,4,56,1.353216,3454560000,2.147015,0.536754,yes
1200,8,56,1.378809,3454560000,2.107163,0.263395,yes
1600,1,56,9.753580,8189440000,1.000000,1.000000,yes
1600,2,56,4.018162,8189440000,2.427374,1.213687,yes
1600,4,56,4.531348,8189440000,2.152468,0.538117,yes
1600,8,56,4.307801,8189440000,2.264167,0.283021,yes
2000,1,56,52.252360,15996000000,1.000000,1.000000,yes
2000,2,56,27.136160,15996000000,1.925562,0.962781,yes
2000,4,56,26.935328,15996000000,1.939919,0.484980,yes
2000,8,56,28.165695,15996000000,1.855177,0.231897,yes
