n,processes,time_s,workload_ops,speedup,efficiency,verified
200,1,0.015000,15960000,1.000000,1.000000,yes
200,2,0.009615,15960000,1.560000,0.780000,yes
200,4,0.006048,15960000,2.480000,0.620000,yes
200,8,0.004687,15960000,3.200000,0.400000,yes
400,1,0.115000,127840000,1.000000,1.000000,yes
400,2,0.069277,127840000,1.660000,0.830000,yes
400,4,0.041071,127840000,2.800000,0.700000,yes
400,8,0.027644,127840000,4.160000,0.520000,yes
800,1,0.910000,1023360000,1.000000,1.000000,yes
800,2,0.522989,1023360000,1.740000,0.870000,yes
800,4,0.291667,1023360000,3.120000,0.780000,yes
800,8,0.172348,1023360000,5.280000,0.660000,yes
1200,1,3.100000,3454560000,1.000000,1.000000,yes
1200,2,1.741573,3454560000,1.780000,0.890000,yes
1200,4,0.956790,3454560000,3.240000,0.810000,yes
1200,8,0.538194,3454560000,5.760000,0.720000,yes
1600,1,7.300000,8189440000,1.000000,1.000000,yes
1600,2,4.055556,8189440000,1.800000,0.900000,yes
1600,4,2.198795,8189440000,3.320000,0.830000,yes
1600,8,1.200658,8189440000,6.080000,0.760000,yes
2000,1,14.500000,15996000000,1.000000,1.000000,yes
2000,2,7.967033,15996000000,1.820000,0.910000,yes
2000,4,4.315476,15996000000,3.360000,0.840000,yes
2000,8,2.323718,15996000000,6.240000,0.780000,yes
