n,block_x,block_y,threads_per_block,grid_x,grid_y,time_ms,time_s,workload_ops,speedup_vs_8x8,verified,device
200,8,8,64,25,25,1.240,0.001240,15960000,1.000,yes,Example CUDA GPU (synthetic estimate)
200,16,16,256,13,13,0.980,0.000980,15960000,1.265,yes,Example CUDA GPU (synthetic estimate)
200,32,32,1024,7,7,1.050,0.001050,15960000,1.181,yes,Example CUDA GPU (synthetic estimate)
400,8,8,64,50,50,7.900,0.007900,127840000,1.000,yes,Example CUDA GPU (synthetic estimate)
400,16,16,256,25,25,6.120,0.006120,127840000,1.291,yes,Example CUDA GPU (synthetic estimate)
400,32,32,1024,13,13,6.430,0.006430,127840000,1.229,yes,Example CUDA GPU (synthetic estimate)
800,8,8,64,100,100,45.200,0.045200,1023360000,1.000,yes,Example CUDA GPU (synthetic estimate)
800,16,16,256,50,50,34.050,0.034050,1023360000,1.327,yes,Example CUDA GPU (synthetic estimate)
800,32,32,1024,25,25,35.810,0.035810,1023360000,1.262,yes,Example CUDA GPU (synthetic estimate)
1200,8,8,64,150,150,132.600,0.132600,3454560000,1.000,yes,Example CUDA GPU (synthetic estimate)
1200,16,16,256,75,75,99.400,0.099400,3454560000,1.334,yes,Example CUDA GPU (synthetic estimate)
1200,32,32,1024,38,38,103.200,0.103200,3454560000,1.285,yes,Example CUDA GPU (synthetic estimate)
1600,8,8,64,200,200,287.500,0.287500,8189440000,1.000,yes,Example CUDA GPU (synthetic estimate)
1600,16,16,256,100,100,213.700,0.213700,8189440000,1.345,yes,Example CUDA GPU (synthetic estimate)
1600,32,32,1024,50,50,221.900,0.221900,8189440000,1.296,yes,Example CUDA GPU (synthetic estimate)
2000,8,8,64,250,250,534.800,0.534800,15996000000,1.000,yes,Example CUDA GPU (synthetic estimate)
2000,16,16,256,125,125,398.100,0.398100,15996000000,1.343,yes,Example CUDA GPU (synthetic estimate)
2000,32,32,1024,63,63,412.500,0.412500,15996000000,1.296,yes,Example CUDA GPU (synthetic estimate)
